,Unnamed: 0,pth,label,relFCs,new_file_name,ext
0,0,anger/image0000006.jpg,surprise,0.8731421290934949,surprise0,.jpg
1,1,anger/image0000060.jpg,anger,0.852310783018639,anger0,.jpg
2,2,anger/image0000061.jpg,anger,0.80095684657714,anger1,.jpg
3,3,anger/image0000066.jpg,disgust,0.8430792768021197,disgust0,.jpg
4,4,anger/image0000106.jpg,anger,0.8491084661862777,anger2,.jpg
5,5,anger/image0000132.jpg,anger,0.8194483454798387,anger3,.jpg
6,6,anger/image0000138.jpg,anger,0.8520518574751808,anger4,.jpg
7,7,anger/image0000182.jpg,anger,0.8414882854744647,anger5,.jpg
8,8,anger/image0000195.jpg,anger,0.8231325554226703,anger6,.jpg
9,9,anger/image0000213.jpg,anger,0.8724308397570707,anger7,.jpg
10,10,anger/image0000228.jpg,anger,0.8122761639871947,anger8,.jpg
11,11,anger/image0000294.jpg,anger,0.8391113879323415,anger9,.jpg
12,12,anger/image0000333.jpg,anger,0.7536217387529814,anger10,.jpg
13,13,anger/image0000343.jpg,disgust,0.8703511856366929,disgust1,.jpg
14,14,anger/image0000346.jpg,fear,0.8571789295428658,fear0,.jpg
15,15,anger/image0000356.jpg,sad,0.8218456022564528,sad0,.jpg
16,16,anger/image0000368.jpg,disgust,0.8260487408813072,disgust2,.jpg
17,17,anger/image0000374.jpg,disgust,0.8307078392851691,disgust3,.jpg
18,18,anger/image0000390.jpg,anger,0.8023954750702706,anger11,.jpg
19,19,anger/image0000399.jpg,anger,0.7844882099304229,anger12,.jpg
20,20,anger/image0000407.jpg,anger,0.847243020477899,anger13,.jpg
21,21,anger/image0000415.jpg,anger,0.7360272419661058,anger14,.jpg
22,22,anger/image0000416.jpg,anger,0.896066276081331,anger15,.jpg
23,23,anger/image0000441.jpg,sad,0.7928996288166676,sad1,.jpg
24,24,anger/image0000450.jpg,anger,0.7732496988962118,anger16,.jpg
25,25,anger/image0000470.jpg,surprise,0.8255568995050376,surprise1,.jpg
26,26,anger/image0000511.jpg,anger,0.7896748553681358,anger17,.jpg
27,27,anger/image0000513.jpg,anger,0.7908538607156258,anger18,.jpg
28,28,anger/image0000593.jpg,anger,0.7958770100788126,anger19,.jpg
29,29,anger/image0000602.jpg,anger,0.8442329868334137,anger20,.jpg
30,30,anger/image0000690.jpg,sad,0.8537979787692912,sad2,.jpg
31,31,anger/image0000697.jpg,disgust,0.7897153908718793,disgust4,.jpg
32,32,anger/image0000722.jpg,surprise,0.7125039995777563,surprise2,.jpg
33,33,anger/image0000723.jpg,anger,0.7499107651584357,anger21,.jpg
34,34,anger/image0000758.jpg,anger,0.8115496891718968,anger22,.jpg
35,35,anger/image0000776.jpg,anger,0.7191419677617045,anger23,.jpg
36,36,anger/image0000908.jpg,anger,0.763828100944689,anger24,.jpg
37,37,anger/image0000923.jpg,disgust,0.7629544413637663,disgust5,.jpg
38,38,anger/image0000932.jpg,anger,0.8476730489701948,anger25,.jpg
39,39,anger/image0000949.jpg,anger,0.7985818555028823,anger26,.jpg
40,40,anger/image0000963.jpg,anger,0.7932366750358332,anger27,.jpg
41,41,anger/image0000965.jpg,anger,0.8771937422265705,anger28,.jpg
42,42,anger/image0000972.jpg,anger,0.7781220459279947,anger29,.jpg
43,43,anger/image0000996.jpg,sad,0.7939921582791681,sad3,.jpg
44,44,anger/image0001015.jpg,disgust,0.7153702537940787,disgust6,.jpg
45,45,anger/image0001021.jpg,anger,0.8248463847646784,anger30,.jpg
46,46,anger/image0001061.jpg,anger,0.809063702840611,anger31,.jpg
47,47,anger/image0001062.jpg,anger,0.8256761193251171,anger32,.jpg
48,48,anger/image0001063.jpg,fear,0.8336841540008251,fear1,.jpg
49,49,anger/image0001066.jpg,anger,0.8994690885656528,anger33,.jpg
50,50,anger/image0001086.jpg,anger,0.8333730095057175,anger34,.jpg
51,51,anger/image0001113.jpg,anger,0.8733009856946506,anger35,.jpg
52,52,anger/image0001120.jpg,anger,0.8700022201657778,anger36,.jpg
53,53,anger/image0001152.jpg,anger,0.8807410104989579,anger37,.jpg
54,54,anger/image0001161.jpg,anger,0.8317483787895507,anger38,.jpg
55,55,anger/image0001241.jpg,anger,0.8514328973856861,anger39,.jpg
56,56,anger/image0001244.jpg,anger,0.8045184782593185,anger40,.jpg
57,57,anger/image0001258.jpg,anger,0.8006804554086124,anger41,.jpg
58,58,anger/image0001283.jpg,sad,0.7370122093626421,sad4,.jpg
59,59,anger/image0001296.jpg,anger,0.8199635450088529,anger42,.jpg
60,60,anger/image0001305.jpg,anger,0.8852957701257068,anger43,.jpg
61,61,anger/image0001314.jpg,anger,0.8825045191840863,anger44,.jpg
62,62,anger/image0001322.jpg,contempt,0.8314046570015194,contempt0,.jpg
63,63,anger/image0001341.jpg,anger,0.8643037095291287,anger45,.jpg
64,64,anger/image0001348.jpg,anger,0.7959220747289145,anger46,.jpg
65,65,anger/image0001375.jpg,fear,0.8585979811874793,fear2,.jpg
66,66,anger/image0001453.jpg,neutral,0.8156830508716799,neutral0,.jpg
67,67,anger/image0001470.jpg,anger,0.7961243218737241,anger47,.jpg
68,68,anger/image0001516.jpg,anger,0.8648002745998637,anger48,.jpg
