,Unnamed: 0,pth,label,relFCs,new_file_name,ext,new_file_name
0,0,anger/image0000006.jpg,surprise,0.8731421290934950,surprise0,.jpg,surprise0.jpg
1,1,anger/image0000060.jpg,anger,0.852310783018639,anger0,.jpg,anger0.jpg
2,2,anger/image0000061.jpg,anger,0.80095684657714,anger1,.jpg,anger1.jpg
3,3,anger/image0000066.jpg,disgust,0.8430792768021200,disgust0,.jpg,disgust0.jpg
4,4,anger/image0000106.jpg,anger,0.8491084661862780,anger2,.jpg,anger2.jpg
5,5,anger/image0000132.jpg,anger,0.8194483454798390,anger3,.jpg,anger3.jpg
6,6,anger/image0000138.jpg,anger,0.8520518574751810,anger4,.jpg,anger4.jpg
7,7,anger/image0000182.jpg,anger,0.8414882854744650,anger5,.jpg,anger5.jpg
8,8,anger/image0000195.jpg,anger,0.8231325554226700,anger6,.jpg,anger6.jpg
9,9,anger/image0000213.jpg,anger,0.8724308397570710,anger7,.jpg,anger7.jpg
10,10,anger/image0000228.jpg,anger,0.8122761639871950,anger8,.jpg,anger8.jpg
11,11,anger/image0000294.jpg,anger,0.8391113879323420,anger9,.jpg,anger9.jpg
12,12,anger/image0000333.jpg,anger,0.7536217387529810,anger10,.jpg,anger10.jpg
13,13,anger/image0000343.jpg,disgust,0.8703511856366930,disgust1,.jpg,disgust1.jpg
14,14,anger/image0000346.jpg,fear,0.8571789295428660,fear0,.jpg,fear0.jpg
15,15,anger/image0000356.jpg,sad,0.8218456022564530,sad0,.jpg,sad0.jpg
16,16,anger/image0000368.jpg,disgust,0.8260487408813070,disgust2,.jpg,disgust2.jpg
17,17,anger/image0000374.jpg,disgust,0.8307078392851690,disgust3,.jpg,disgust3.jpg
18,18,anger/image0000390.jpg,anger,0.8023954750702710,anger11,.jpg,anger11.jpg
19,19,anger/image0000399.jpg,anger,0.7844882099304230,anger12,.jpg,anger12.jpg
20,20,anger/image0000407.jpg,anger,0.847243020477899,anger13,.jpg,anger13.jpg
21,21,anger/image0000415.jpg,anger,0.7360272419661060,anger14,.jpg,anger14.jpg
22,22,anger/image0000416.jpg,anger,0.896066276081331,anger15,.jpg,anger15.jpg
23,23,anger/image0000441.jpg,sad,0.7928996288166680,sad1,.jpg,sad1.jpg
24,24,anger/image0000450.jpg,anger,0.7732496988962120,anger16,.jpg,anger16.jpg
25,25,anger/image0000470.jpg,surprise,0.8255568995050380,surprise1,.jpg,surprise1.jpg
26,26,anger/image0000511.jpg,anger,0.7896748553681360,anger17,.jpg,anger17.jpg
27,27,anger/image0000513.jpg,anger,0.7908538607156260,anger18,.jpg,anger18.jpg
28,28,anger/image0000593.jpg,anger,0.7958770100788130,anger19,.jpg,anger19.jpg
29,29,anger/image0000602.jpg,anger,0.8442329868334140,anger20,.jpg,anger20.jpg
30,30,anger/image0000690.jpg,sad,0.8537979787692910,sad2,.jpg,sad2.jpg
31,31,anger/image0000697.jpg,disgust,0.7897153908718790,disgust4,.jpg,disgust4.jpg
32,32,anger/image0000722.jpg,surprise,0.7125039995777560,surprise2,.jpg,surprise2.jpg
33,33,anger/image0000723.jpg,anger,0.7499107651584360,anger21,.jpg,anger21.jpg
34,34,anger/image0000758.jpg,anger,0.8115496891718970,anger22,.jpg,anger22.jpg
35,35,anger/image0000776.jpg,anger,0.7191419677617050,anger23,.jpg,anger23.jpg
36,36,anger/image0000908.jpg,anger,0.763828100944689,anger24,.jpg,anger24.jpg
37,37,anger/image0000923.jpg,disgust,0.7629544413637660,disgust5,.jpg,disgust5.jpg
38,38,anger/image0000932.jpg,anger,0.8476730489701950,anger25,.jpg,anger25.jpg
39,39,anger/image0000949.jpg,anger,0.7985818555028820,anger26,.jpg,anger26.jpg
40,40,anger/image0000963.jpg,anger,0.7932366750358330,anger27,.jpg,anger27.jpg
41,41,anger/image0000965.jpg,anger,0.8771937422265710,anger28,.jpg,anger28.jpg
42,42,anger/image0000972.jpg,anger,0.7781220459279950,anger29,.jpg,anger29.jpg
43,43,anger/image0000996.jpg,sad,0.7939921582791680,sad3,.jpg,sad3.jpg
44,44,anger/image0001015.jpg,disgust,0.7153702537940790,disgust6,.jpg,disgust6.jpg
45,45,anger/image0001021.jpg,anger,0.8248463847646780,anger30,.jpg,anger30.jpg
46,46,anger/image0001061.jpg,anger,0.809063702840611,anger31,.jpg,anger31.jpg
47,47,anger/image0001062.jpg,anger,0.8256761193251170,anger32,.jpg,anger32.jpg
48,48,anger/image0001063.jpg,fear,0.8336841540008250,fear1,.jpg,fear1.jpg
49,49,anger/image0001066.jpg,anger,0.8994690885656530,anger33,.jpg,anger33.jpg
50,50,anger/image0001086.jpg,anger,0.8333730095057180,anger34,.jpg,anger34.jpg
51,51,anger/image0001113.jpg,anger,0.8733009856946510,anger35,.jpg,anger35.jpg
52,52,anger/image0001120.jpg,anger,0.8700022201657780,anger36,.jpg,anger36.jpg
53,53,anger/image0001152.jpg,anger,0.8807410104989580,anger37,.jpg,anger37.jpg
54,54,anger/image0001161.jpg,anger,0.8317483787895510,anger38,.jpg,anger38.jpg
55,55,anger/image0001241.jpg,anger,0.8514328973856860,anger39,.jpg,anger39.jpg
56,56,anger/image0001244.jpg,anger,0.8045184782593190,anger40,.jpg,anger40.jpg
57,57,anger/image0001258.jpg,anger,0.8006804554086120,anger41,.jpg,anger41.jpg
58,58,anger/image0001283.jpg,sad,0.7370122093626420,sad4,.jpg,sad4.jpg
59,59,anger/image0001296.jpg,anger,0.8199635450088530,anger42,.jpg,anger42.jpg
60,60,anger/image0001305.jpg,anger,0.8852957701257070,anger43,.jpg,anger43.jpg
61,61,anger/image0001314.jpg,anger,0.8825045191840860,anger44,.jpg,anger44.jpg
62,62,anger/image0001322.jpg,contempt,0.8314046570015190,contempt0,.jpg,contempt0.jpg
63,63,anger/image0001341.jpg,anger,0.8643037095291290,anger45,.jpg,anger45.jpg
64,64,anger/image0001348.jpg,anger,0.7959220747289150,anger46,.jpg,anger46.jpg
65,65,anger/image0001375.jpg,fear,0.8585979811874790,fear2,.jpg,fear2.jpg
66,66,anger/image0001453.jpg,neutral,0.8156830508716800,neutral0,.jpg,neutral0.jpg
