                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  0.241,                 1.1228,                0.96766,                0.69722,                0.69879,                0.77214,                0.76926,                0.12358,                 1.4189,                 1.0516,             0.00041613,             0.00041613,             0.00041613
                      2,                0.15214,                0.73309,                0.91574,                0.69431,                0.69963,                  0.747,                 0.7317,                0.14914,                 1.5122,                 1.0529,             0.00075035,             0.00075035,             0.00075035
                      3,                 0.1338,                0.66824,                0.91243,                0.71142,                0.61797,                0.78786,                0.76482,                0.14965,                 1.3425,                 1.0491,              0.0010021,              0.0010021,              0.0010021
                      4,                0.11445,                0.60495,                0.90818,                0.82165,                 0.6995,                0.81969,                0.79813,                0.13974,                 1.3019,                 1.0471,             0.00087875,             0.00087875,             0.00087875
                      5,                0.10689,                0.57742,                0.90784,                0.83645,                 0.7158,                0.84597,                0.81913,                0.20697,                 1.2466,                 1.0513,             0.00087875,             0.00087875,             0.00087875
                      6,                0.09592,                0.53636,                0.90414,                0.81212,                0.72069,                0.81886,                0.79943,                0.15399,                  1.324,                 1.0476,               0.000755,               0.000755,               0.000755
                      7,                 0.0869,                0.49554,                0.90511,                0.81431,                0.63976,                0.81875,                0.79636,                 0.1648,                 1.3988,                 1.0482,             0.00063125,             0.00063125,             0.00063125
                      8,                0.08009,                0.46997,                0.90071,                0.85732,                0.64967,                0.83243,                0.81596,                0.18199,                 1.4475,                 1.0483,              0.0005075,              0.0005075,              0.0005075
                      9,                0.07005,                0.43049,                0.90367,                 0.8696,                0.68457,                0.85858,                0.84046,                0.14714,                 1.3206,                 1.0464,             0.00038375,             0.00038375,             0.00038375
                     10,                0.06441,                 0.3976,                0.90332,                0.86247,                 0.7022,                0.85075,                0.83013,                0.16601,                 1.3359,                 1.0477,                0.00026,                0.00026,                0.00026
